product_name,product_link
Bobbi Brown Luxe Lipstick,https://www.sephora.com/product/luxe-lip-color-P400625?icid2=products%20grid:p400625
Yves Saint Laurent Rouge Pur Couture The Slim Sheer Matte Lipstick,https://www.sephora.com/product/rouge-pur-couture-slim-sheer-matte-lipstick-P449787?icid2=products%20grid:p449787
Kosas Weightless Lip Color Lipstick,https://www.sephora.com/product/weightless-lip-color-P441883?icid2=products%20grid:p441883
Yves Saint Laurent Rouge Pur Couture Lipstick Mother's Day Love Set,https://www.sephora.com/product/yves-saint-laurent-rouge-pur-couture-lipstick-mother-s-day-duo-love-set-P458582?icid2=products%20grid:p458582
Charlotte Tilbury Superstar Lips Lipstick - Pillow Talk Collection,https://www.sephora.com/product/charlotte-tilbury-superstar-lips-lipstick-pillow-talk-collection-P455322?icid2=products%20grid:p455322
MILK MAKEUP Glow Oil Lip + Cheek,https://www.sephora.com/product/glow-oil-lip-cheek-P445510?icid2=products%20grid:p445510
LAWLESS Soft Matte Liquid Lipstick,https://www.sephora.com/product/soft-matte-liquid-lipstick-P429281?icid2=products%20grid:p429281
bareMinerals GEN NUDE™ Liquid Lipstick,https://www.sephora.com/product/gen-nude-matte-liquid-lipcolor-P410249?icid2=products%20grid:p410249
Bobbi Brown Lipstick,https://www.sephora.com/product/lip-color-P270541?icid2=products%20grid:p270541
ILIA Tinted Lip Conditioner,https://www.sephora.com/product/tinted-lip-conditioner-P411850?icid2=products%20grid:p411850
Shiseido VisionAiry Gel Lipstick,https://www.sephora.com/product/visionairy-gel-lipstick-P435416?icid2=products%20grid:p435416
SEPHORA COLLECTION Lilly Lashes x Sephora Collection - Lip Set,https://www.sephora.com/product/lilly-lashes-x-sephora-collection-lip-set-P446313?icid2=products%20grid:p446313
NARS Satin Lipstick Pencil,https://www.sephora.com/product/satin-lip-pencil-P378859?icid2=products%20grid:p378859
MAKE UP FOR EVER Artist Liquid Matte Lipstick,https://www.sephora.com/product/artist-liquid-matte-P416156?icid2=products%20grid:p416156
Hourglass GIRL Lip Stylo,https://www.sephora.com/product/girl-lip-stylo-P415641?icid2=products%20grid:p415641
Bobbi Brown Luxe Matte Lipstick,https://www.sephora.com/product/luxe-matte-lipstick-P434383?icid2=products%20grid:p434383
Dior Rouge Dior Ultra Care Liquid Lipstick,https://www.sephora.com/product/rouge-dior-ultra-care-liquid-lipstick-P450457?icid2=products%20grid:p450457
TOM FORD Extreme Lip Spark Lipstick,https://www.sephora.com/product/extreme-lip-spark-P445435?icid2=products%20grid:p445435
TOM FORD Gold Deco Lip Color Lipstick,https://www.sephora.com/product/gold-deco-lip-color-lipstick-P451620?icid2=products%20grid:p451620
Ciaté London Jessica Rabbit Glitter Storm Lipstick,https://www.sephora.com/product/glitter-storm-lipstick-P441877?icid2=products%20grid:p441877
Givenchy Rouge Interdit Vinyl Color Enhancing Lipstick,https://www.sephora.com/product/rouge-interdit-vinyl-color-enhancing-lipstick-P405231?icid2=products%20grid:p405231
Bite Beauty Crystal Crème Shimmer Lip Crayon,https://www.sephora.com/product/crystal-creme-shimmer-lip-crayon-P439942?icid2=products%20grid:p439942
CLINIQUE Pop Lip Colour + Primer,https://www.sephora.com/product/clinique-pop-lip-colour-primer-P395524?icid2=products%20grid:p395524
Lancôme L'Absolu Rouge Drama Matte Lipstick,https://www.sephora.com/product/l-absolu-rouge-drama-matte-P437230?icid2=products%20grid:p437230
HUDA BEAUTY Contour & Strobe Liquid Lip Set,https://www.sephora.com/product/contour-strobe-lip-set-P426365?icid2=products%20grid:p426365
Armani Beauty Ecstasy Shine Lipstick,https://www.sephora.com/product/ecstasy-shine-P422804?icid2=products%20grid:p422804
KVD Vegan Beauty Kitten Mini: Matte Meets Vinyl Liquid Lipstick and Lip Gloss Lolita Set,https://www.sephora.com/product/kvd-vegan-beauty-kitten-mini-matte-meets-vinyl-everlasting-liquid-lipstick-xo-vinyl-lip-cream-lip-gloss-set-P458279?icid2=products%20grid:p458279
TOM FORD Soleil Lip Lacquer,https://www.sephora.com/product/soleil-lip-lacquer-P438592?icid2=products%20grid:p438592
Bobbi Brown Crushed Lip Color,https://www.sephora.com/product/crushed-lip-color-P422224?icid2=products%20grid:p422224
IT Cosmetics Pillow Lips Collagen-Infused Lipstick,https://www.sephora.com/product/it-cosmetics-pillow-lips-collagen-infused-lipstick-P454064?icid2=products%20grid:p454064
NUDESTIX Mini Nudies 3-Piece Kit,https://www.sephora.com/product/mini-nudies-3-piece-kit-P447737?icid2=products%20grid:p447737
MAKE UP FOR EVER Artist Rouge Lipstick,https://www.sephora.com/product/artist-rouge-lipstick-P410516?skuId=1850585&icid2=products%20grid:p410516
bareMinerals Gen Nude Patent Liquid Lipstick,https://www.sephora.com/product/gen-nude-patent-lip-lacquer-P427617?icid2=products%20grid:p427617
CLINIQUE Dramatically Different Lipstick Shaping Lip Colour,https://www.sephora.com/product/dramatically-different-lipstick-shaping-lip-colour-P436505?icid2=products%20grid:p436505
TOM FORD Boys & Girls Lip Color Lipstick,https://www.sephora.com/product/boys-girls-lip-color-P423486?icid2=products%20grid:p423486
MILK MAKEUP Lip Color,https://www.sephora.com/product/lip-color-P442246?icid2=products%20grid:p442246
SEPHORA COLLECTION #LIPSTORIES Destinations,https://www.sephora.com/product/lipstores-destination-P443309?icid2=products%20grid:p443309
Yves Saint Laurent Rouge Volupte Rock'N Shine Lipstick,https://www.sephora.com/product/yves-saint-laurent-rouge-volupte-rock-n-shine-lipstick-P454359?icid2=products%20grid:p454359
Kaja Air Heart Lightweight Natural Finish Lipstick,https://www.sephora.com/product/kaja-air-heart-lightweight-natural-finish-lipstick-P454034?icid2=products%20grid:p454034
Dior Rouge Dior Ultra Rouge Lipstick,https://www.sephora.com/product/rouge-dior-ultra-rouge-lipstick-P436859?icid2=products%20grid:p436859
Smashbox Always On Cream to Matte Lipstick,https://www.sephora.com/product/smashbox-always-on-cream-to-matte-lipstick-P454512?icid2=products%20grid:p454512
SEPHORA COLLECTION Color Lip Last Lipstick,https://www.sephora.com/product/color-lip-last-lipstick-P313004?icid2=products%20grid:p313004
FENTY BEAUTY by Rihanna Poutsicle Juicy Satin Lipstick,https://www.sephora.com/product/poutsicle-juicy-satin-lipstick-P33701948?skuId=2225894&icid2=products%20grid:p33701948
tarte Tarteist™ Quick Dry Matte Lip Paint,https://www.sephora.com/product/tarteist-quick-dry-matte-lip-paint-P63087456?skuId=1886423&icid2=products%20grid:p63087456
Artist Couture Silk Cream Lipstick,https://www.sephora.com/product/artist-couture-nudes-collection-silk-creme-lipstick-P456967?icid2=products%20grid:p456967
tarte Tarteist™ Creamy Matte Lip Paint,https://www.sephora.com/product/tarteist-lip-paint-P403800?icid2=products%20grid:p403800
NUDESTIX Nude Plumping Lip Glace,https://www.sephora.com/product/nude-plumping-lip-glace-P444920?icid2=products%20grid:p444920
Melt Cosmetics Liquid Lipstick,https://www.sephora.com/product/liquid-set-lipstick-P444548?icid2=products%20grid:p444548
Laura Mercier Velour Extreme Matte Lipstick,https://www.sephora.com/product/velour-extreme-matte-lipstick-P427041?icid2=products%20grid:p427041
Givenchy Le Rouge Perfecto Beautifying Lip Balm,https://www.sephora.com/product/le-rouge-perfecto-beautifying-lip-balm-P410769?icid2=products%20grid:p410769
PAT McGRATH LABS BlitzTrance™ Lipstick,https://www.sephora.com/product/blitztrance-lipstick-P439070?icid2=products%20grid:p439070
Lancôme L’Absolu Rouge Ruby,https://www.sephora.com/product/la-absolu-rouge-ruby-cream-lipstick-P449109?icid2=products%20grid:p449109
Smashbox Be Legendary Lipstick,https://www.sephora.com/product/be-legendary-lipstick-P304704?icid2=products%20grid:p304704
Lancôme L'Absolu Rouge Lipstick,https://www.sephora.com/product/l-absolu-rouge-P244911?icid2=products%20grid:p244911
Marc Jacobs Beauty New Nudes Sheer Gel Lipstick,https://www.sephora.com/product/new-nudes-sheer-lip-gel-P392351?skuId=1880160&icid2=products%20grid:p392351
Gucci Rouge à Lèvres Gothique Metallic Lipstick,https://www.sephora.com/product/gucci-rouge-a-levres-gothique-metallic-lipstick-P454991?icid2=products%20grid:p454991
Natasha Denona I Need A Nude Lipstick,https://www.sephora.com/product/i-need-nude-lipstick-P448848?icid2=products%20grid:p448848
TOM FORD Ultra Shine Lip Color,https://www.sephora.com/product/ultra-shine-lip-color-P429018?icid2=products%20grid:p429018
Jouer Cosmetics Long-Wear Lip Crème Liquid Lipstick,https://www.sephora.com/product/long-wear-lip-creme-liquid-lipstick-P434019?icid2=products%20grid:p434019
